stop_name
Jembatan Merah
Jalan Jembatan Merah 26
Bca Veteran
Halte Tugu Pahlawan
Jalan Tembaan 19a
Jalan Dupak Rukun 1
Jalan Tanjungsari 57a
Jalan Tanjungsari 18
Stasiun Tandes 2
Jalan Raya Manukan Kulon 18
Jalan Raya Kandangan 24
Indomaret Sememi
Kampus Wijaya Putra
Spbu Pakal 2
Terminal Benowo
