stop_name
Jalan Gunung Sari 1
Jalan Raya Malang - Surabaya 86
Darmokali 1
Jalan Darmokali 10
"Jalan Ngagel Jaya Selatan, 20"
Ubaya Ngagel
Manyar
Untag A
Semolowaru B
"Nginden Intan Raya, 28"
"Jalan Raya Kedung Baruk, 4"
"Jalan Dokter Ir. Haji Soekarno, 17"
"Jalan Dokter Ir. Haji Soekarno, 36"
"Jalan Pandugo, 72"
"Jalan Penjaringan Sari, 31-35"
"Jalan Nusa Indah, 18"
Jalan Raya Rungkut Madya 135
Jalan Rambutan 9
Jalan Amir Machmud 16
