stop_name
Terminal Tanjung Perak
Jalan Perak Timur 512
Jalan Perak Timur 356
Jalan Perak Timur 212
Hotel Berlian International
Gereja Pantekosta B
Jalan Rajawali 56
Jalan Jembatan Merah 26
