stop_name
Jalan Raya Waru 18
Halte Bungurasih
Jalan Jenderal Ahmad Yani 286
Jalan Raya Malang - Surabaya 287
Jalan Jenderal Ahmad Yani 152
Rsi Jemursari
Jalan Raya Jemur Sari 177
Jalan Raya Prapen 22
Jalan Bratang Jaya 98
