stop_name
Jalan Abdul Latif
Jalan Sukolilo Larangan VI 76
Jalan Kenjeran 670c
Jalan Kenjeran 331-333
Jalan Kapas Krampung 162b
Jalan Tambak Rejo 74
Jalan Kapasan Samping III 2
Jalan Waspada 42
Jalan Jembatan Merah 26
