stop_name
Jalan Raya Made 9 A
Jalan Raya Ngemplak 84
Jalan Raya Bungkal 95
Jalan Raya Jelidro Barat 77
Jalan Manukan Tama 33
Jalan Manukan Tengah 68
Jalan Manukan Lor
Jalan Raya Manukan Kulon 18
Jalan Margomulyo 398
Jalan Margomulyo 39
Jalan Tol Surabaya - Gresik 18-20
Jalan Tembaan 89-90
Halte Pasar Turi
Halte Masjid Kemayoran
Jalan Indrapura 23
Jembatan Merah
