stop_name
Jembatan Merah
Jalan Kaliagung B 50
Jalan Kapasan Samping III 2
Jalan Bunguran 35-B
Jalan Waspada 42
Halte Tugu Pahlawan
Jalan Gemblongan 58-62
Jalan Genteng Kali 89-91
Jalan Ngemplak 10
Gubernur Suryo
Halte Panglima Sudirman
Intiland Tower
Urip Sumoharjo 2
Bca Darmo
Jalan Teuku Umar 31
Klinik Modern Dasa Medika
Pakis Tirtosari
Jalan Pakis Tirtosari 108
Halte Darmo Park 2
Halte Taman Makam Pahlawan
Jalan Mayjen Hr. Muhammad 47
Jalan Mayjen Hr. Muhammad 167
Jalan Raya Darmo Permai Selatan 26
Jalan Raya Pradah Indah 41
Rsia Lontar B
Jalan Sambi Kerep 2 65-91
Jalan Kalijaran
Jalan Made Amd 19
Jalan Raya Made 10
Jalan Citra Raya 20
