stop_name
Jembatan Merah
Jalan Jembatan Merah 26
Bca Veteran
Halte Tugu Pahlawan
Jalan Kramat Gantung 155
Jalan Gemblongan 58-62
Jalan Bubutan 15
Jalan Semarang 36
Jalan Raya Arjuno 27
Kupang Krajan B
Simpang Kartini
Jalan Raya Diponegoro 58
Jalan Raya Diponegoro 1-A
Jalan Darmo Raya 139
Jalan Raya Wonokromo 107
Jalan Jenderal Ahmad Yani 37-C
Jalan Jenderal Ahmad Yani 66
Jalan Raya Malang - Surabaya 23
Jalan Raya Malang - Surabaya 199
Jalan Jenderal Ahmad Yani 275
Jalan Barata Jaya XIX 44
Jalan Letjend Sutoyo 315
Jalan Letjend Sutoyo 140a
Jalan Letjend Sutoyo 112a
Jalan Letjend Sutoyo 69-80
