stop_name
Jalan Gunung Sari 1
Jalan Raya Wonokromo 107
Jalan Jenderal Ahmad Yani 66
Jalan Margorejo Indah 57
Kantor Pertamina
Jalan Raya Tenggilis 24
Jalan Raya Kendangsari 32
Kutisari 1
Jalan Rungkut Industri I 17
Raya Rungkut Industri I 39
Jalan Rungkut Industri Kidul 74a
Jalan Raya Rungkut Madya 27
Jalan Dokter Ir. Haji Soekarno 48
Jalan Raya Rungkut Madya 135
Jalan Rungkut Asri Timur XVIII 27-35
Jalan Medokan Ayu 17
