stop_name
Terminal Dukuh Kupang
Jalan Dukuh Kupang Barat VIII 6
Jalan Kupang Jaya 8
Jalan Simo Hilir Barat Raya 7
Jalan Simo Hilir Raya 17
Jalan Simo Pomahan 38
Gpdi Jemaat Immanuel
Jalan Tanjungsari 18
Jalan Tanjungsari 57a
Jalan Tol Surabaya - Gresik 18-20
Jalan Demak 287
Jalan Demak 381
Jalan Kalianak Timur 155
Jalan Greges Timur 65
Jalan Tambak Osowilangun 61b
Jalan Tambak Osowilangun 19
Jalan Tambak Osowilangun 168
Jalan Tambak Osowilangun 43a
Jalan Mangga 45
Jalan Mangga
Jalan Mangga
Terminal Benowo
