stop_name
Bca Veteran
Halte Tugu Pahlawan
Halte Pasar Turi
Jalan Semarang 118
Jalan Semarang 36
Jalan Tidar III 3
Jalan Kedung Doro 137 A
Kupang Krajan B
Simpang Kartini
Jalan Dokter Soetomo 78-82
Jalan Polisi Istimewa 28
Jalan Raya Dinoyo 83-93
Ubaya Ngagel
Manyar
Terminal Bratang
