stop_name
Terminal Osowilangun
Jalan Tambak Osowilangun 168
Jalan Tambak Osowilangun 28
Jalan Tambak Osowilangun 19
Jalan Tambak Osowilangun 61b
Jalan Greges Timur 65
Jalan Kalianak Timur 55
Jalan Kalianak Timur 155
Jalan Gresik Gadukan Timur 176
Jalan Gresik Gadukan Timur 45
Hotel Berlian International
Hotel Berlian International
Gereja Pantekosta B
Jalan Rajawali 56
Jalan Jembatan Merah 26
Bca Veteran
Halte Tugu Pahlawan
"Jalan Pahlawan, 37"
Jalan Gemblongan 58-62
Halte Siola
Jalan Tunjungan 91
Gubernur Suryo
Halte Panglima Sudirman
Intiland Tower
Urip Sumoharjo 2
Bca Darmo
Halte Santa Maria
Jalan Darmo Raya 110
Jalan Darmo Raya 139
Jalan Raya Wonokromo 107
Jalan Jenderal Ahmad Yani 37-C
Jalan Jenderal Ahmad Yani 66
Jalan Raya Malang - Surabaya 23
Jalan Jenderal Ahmad Yani 153
Jalan Raya Malang - Surabaya 199
Jalan Jenderal Ahmad Yani 275
Jalan Barata Jaya XIX 44
Jalan Letjend Sutoyo 140a
Jalan Letjend Sutoyo 69-80
Jalan Bungurasih Tim
