stop_name
"Jalan Kalimas Barat, 18"
Jalan Kalimas Barat 49
Belakang Penjara 15
Jalan Jembatan Merah 26
Bca Veteran
Jalan Bongkaran 1
Jalan Stasiun Kota 62
Jalan Bunguran 35-B
Jalan Kapasan Samping III 2
Jalan Bunguran 52a
Jalan Pecindilan 18-A
Jalan Jaksa Agung Suprapto 7
Jalan Walikota Mustajab 59
Jalan Gubeng Pojok 77
Jalan Gubeng Pojok 27
Kayoon 1 B
Kayoon 1
Intiland Tower
Urip Sumoharjo 2
Jalan Raya Dinoyo 83-93
Upa Jiwa
Jalan Raya Ngagel 154-156
Spbu Ngagel
Stasiun Wonokromo
Jalan Wonokromo Pasar VI 4
Jalan Wonokromo
Jalan Gunung Sari
