stop_name
Jalan Tembaan 89-90
Jalan Semarang 118
Jalan Semarang 36
Jalan Raya Arjuno 27
Jalan Raya Arjuno 139
Kupang Krajan B
Seberang Masjid Ianatut Tholibin
Simo Katrungan Kidul A
Gpdi Jemaat Immanuel
Stasiun Tandes 2
Jalan Raya Manukan Kulon 18
Jalan Raya Kandangan 24
Indomaret Sememi
Kampus Wijaya Putra
Spbu Pakal 2
Terminal Benowo
Jalan Raya Kepatihan 154
Jalan Raya Kepatihan 12
Jalan Raya Boboh 114
Jalan Raya Boboh 100
Jalan Raya Morowudi 18
Jalan Raya Morowudi 24
Jalan Raya Ngembung 109
Jalan Raya Leker Rejo 30
Jalan Raya Dadap Kuning 31
Jalan Raya Benjeng 3500
Jalan Raya Benjeng 414
Jalan Raya Kedung Rukem 51
Jalan Raya Kedung Rukem 7
Jalan Raya Balongpanggang 9
Jalan Raya Balongpanggang 21a
